"","SMC-F-E1_S1","SMC-F-E2_S2","SMC-F-E3_S3","SMC-G-E1_S5","SMC-G-E2_S6","SMC-G-E3_S7"
"ENSG00000000003",1047.91649039573,910.937405644348,1071.21841159707,869.008366903626,897.679364405258,944.261409037173
"ENSG00000000419",2639.22107281559,3305.06023719685,1835.78162870271,2902.46839977423,2641.77227431791,2676.08505689461
"ENSG00000000457",350.130099447666,247.762381595161,280.248815191709,314.451364359128,326.448434680874,323.313437799329
"ENSG00000000460",198.877263155584,150.307840944638,189.601842546581,92.1052978918698,109.631041478493,83.7357150528173
"ENSG00000000938",11.8116822912724,37.2658826725682,7.7307844745875,7.64280293895602,2.64178282923705,1.9481185252894
"ENSG00000000971",2253.73186554074,2984.93390209099,3826.24625557867,6944.98892705947,5474.07357908572,5035.11711297786
"ENSG00000001036",2837.64019438052,2390.54825003385,2927.32697292961,5552.27736835039,5852.46562807156,6563.47825795041
"ENSG00000001084",775.463677046991,633.248660376214,576.676321158299,837.53492875878,901.700957401112,901.668985061781
"ENSG00000001167",1832.03479809171,1721.42493775382,1368.9767142973,1525.82302593707,1549.85618420537,1551.47620614507
"ENSG00000001460",383.097841787263,435.767968282386,394.505086365064,478.9911754835,421.714870752028,436.997821706698
"ENSG00000001461",1664.10658077137,1794.9608358179,2013.94553323105,2926.37786456552,2453.12212100119,2151.31159596466
"ENSG00000001497",1630.50445288117,1484.9252555918,1993.90109870843,1835.24658263792,1972.27716844805,1982.17589757448
"ENSG00000001561",139.494984907336,140.26073524783,95.7104337774968,434.86017163748,212.039672132015,134.142870867796
"ENSG00000001617",1791.18785186022,1577.5029985322,2017.53605919644,894.375403016723,721.136698733565,766.178501880572
"ENSG00000001629",2927.66679386927,3417.29153063028,2504.1081166833,2167.24852128673,1726.90903470141,1370.5126060569
"ENSG00000001630",7620.06400531825,8279.78297423147,5945.30466604449,4392.35660173389,3773.06338315259,3572.33501347983
"ENSG00000001631",1097.4877974128,1159.45362903155,1112.91833265248,1226.08059500538,1130.24534983013,939.932888010339
"ENSG00000002016",466.587260469439,469.104946754976,525.484813025108,316.945475395956,259.489926164095,203.898189274074
"ENSG00000002079",4.53732314515998,0,14.9539652795289,8.4386146031527,4.95212828087737,0.854727658724496
"ENSG00000002330",2831.42856481835,3063.69202543528,3425.85361930141,3108.54084186574,3634.10379093544,3881.52725929208
"ENSG00000002549",1686.53061236489,1386.54331606109,1487.80772867167,2121.85830859995,2122.11481251683,2064.85464773115
"ENSG00000002586",10687.2260491222,14417.8316445289,14302.7978490783,16089.1881348384,15510.786434125,16309.9019464351
"ENSG00000002587",0,0.841543592577641,0,2.24036476306095,4.6778750022125,6.66101905135237
"ENSG00000002745",35.1403570195365,44.0066652744206,26.9219898172101,2.11416953912998,4.1216837613104,0.853652110671113
"ENSG00000002746",5.91053038410906,0,0.655907931738956,8.63135591289033,5.67541947918948,12.1735480226184
"ENSG00000002822",1535.55853081856,1474.48132806686,1594.54602861578,1686.78646677956,1848.69221920454,1689.04781917836
"ENSG00000002834",18670.6020854279,19866.6284668675,17558.5632549018,21194.0836914818,21299.6019832214,20206.2220207392
"ENSG00000002919",1039.35549746362,1058.65465686899,1072.77424865546,1268.17694414556,1249.62676487151,1293.8264403037
"ENSG00000003056",4277.75803977964,3962.1103623404,3456.35490143237,4871.28482903132,6013.61826792244,6811.22326519174
"ENSG00000003096",87.7735039394982,67.9355753237456,53.626859021004,55.610397680821,47.6679984411944,23.6055738705124
"ENSG00000003137",77.3143066124207,85.6642464447413,114.956090470707,447.85500653533,900.645952154613,850.511438122295
"ENSG00000003147",0.969758708137194,13.4255317428731,2.18552912800279,6.5392584581061,1.74671756946557,2.95371275723279
"ENSG00000003249",277.274741996796,211.955408927644,311.388570313761,120.716718834403,119.02386832979,86.2243332035818
"ENSG00000003393",1561.6708689846,1532.85452821624,1387.00482050803,1499.03025477651,1156.3607304313,1058.31742302824
"ENSG00000003400",174.882510787349,98.6081664605313,121.686163766529,275.429710574811,198.072573004529,220.518302324675
"ENSG00000003402",6206.75789437596,6115.7609725762,7865.29538504681,8299.81156124219,6829.32819808867,6644.57828057672
"ENSG00000003436",36192.6379415639,43507.5032771579,41201.9227189512,13106.0770590243,8382.61002244391,7218.74123961449
"ENSG00000003509",484.149329704749,538.086410039239,487.5171249874,794.197774164604,696.370636611917,760.882345832998
"ENSG00000003756",6183.70680889139,6297.57584104535,7142.86907775204,3852.8723865055,4282.16317922167,4062.40275935729
"ENSG00000003987",9.07365460491801,5.94258411154851,7.97568018385958,5.27594745450397,5.77633614647146,9.40010004613788
"ENSG00000003989",7439.09605395878,4659.10388346829,5427.1794728867,2210.17163695125,1218.72349515957,1107.4807559967
"ENSG00000004059",4483.20749504841,5734.23820716164,5019.23078955598,4292.39348921396,4275.98217332224,4726.88697784829
"ENSG00000004139",187.02209808788,183.539376731365,324.591713380773,706.001732210009,977.06393458395,1102.65979267696
"ENSG00000004142",4408.6333541938,3482.38189041054,4663.1963529945,6146.44192151731,7285.13628428234,7671.94224464499
"ENSG00000004399",4016.96675265412,3752.52334260711,5219.18611123018,3661.69522639443,4140.70478707494,4420.37200868355
"ENSG00000004455",6604.75122132519,7157.29135026077,6274.50964499589,7738.51161807696,7211.18427295478,7636.61098978868
"ENSG00000004468",0.629213082165793,1.31844641045615,4.58694104320936,2.87083581367816,9.45435178280429,6.50647515894253
"ENSG00000004478",8890.21554231099,8241.68277204629,8860.07237236199,6758.19953087617,7546.32201225509,8157.53500622745
"ENSG00000004487",6235.97857213198,6752.86692643502,6278.81245572474,3488.32164704495,3347.40366187139,3582.40374114369
"ENSG00000004534",8194.85479126379,9384.84124283406,8162.18838410267,4298.76612718366,4621.66044678591,5039.43996654644
"ENSG00000004660",1173.45487275263,1429.93223964129,1528.32773103984,1096.81669948745,841.158225729146,919.215719003859
"ENSG00000004700",6245.10404128246,5997.092935809,5487.21017479238,4259.91757790016,2721.55297642012,2209.60148882783
"ENSG00000004766",335.601742336459,351.885451162677,344.748327327485,765.090720224245,884.564173031994,708.80414293057
"ENSG00000004776",877.25146589858,606.517995623719,1152.57634027642,5347.87576999764,3236.97108409636,2578.49767171343
"ENSG00000004777",334.86539518447,264.77174509052,200.345909797229,94.9647946916041,101.04304313137,89.6714484960836
"ENSG00000004779",1733.50751638804,2319.46848444783,1832.83870484177,2320.79069567491,2414.23965435344,2672.47116763224
"ENSG00000004799",214.808887422703,292.874061514403,148.142292889603,613.117128747793,334.548057616973,374.678087902308
"ENSG00000004838",165.847079060897,167.02192557985,102.649469232223,43.2673047093429,32.7665822935776,22.1892098684718
"ENSG00000004864",395.638660439744,315.698154113899,322.433476031898,306.922633848606,372.422929941291,367.439580993465
"ENSG00000004866",437.730372119562,336.370628791605,433.833801437162,828.185471585515,1004.92023614767,979.566997879346
"ENSG00000004897",3079.71698957149,3630.29709544992,2944.74165627789,3770.72271397494,3410.29329177453,3089.49023236084
"ENSG00000004961",1435.95013591636,1529.11611859547,1175.946608458,2541.79317909569,2235.97303327129,2250.53256005969
"ENSG00000004975",2341.77212225254,2735.2781069826,2736.65311829192,1374.03752243471,1325.65667476373,1319.98455574562
"ENSG00000005001",49.1892449250509,50.2552187884323,69.0237373046801,7.96218905284784,6.14049462712641,4.76875866331554
